spcd,common_name,genus,species
7285,black mampoo,Guapira,fragrans
7286,corcho prieto,Guapira,obtusata
7288,alligatorwood,Guarea,glabra
7290,American muskwood,Guarea,guidonia
7294,haya minga,Guatteria,blainii
7295,haya blanca,Guatteria,caribaea
7298,bastardcedar,Guazuma,ulmifolia
7299,hammock velvetseed,Guettarda,elliptica
7300,frogwood,Guettarda,krugii
7302,cucubano de vieques,Guettarda,odorata
7303,cucubano,Guettarda,ovalifolia
7305,roseta,Guettarda,pungens
7306,wild guave,Guettarda,scabra
7307,puapua,Guettarda,speciosa
7309,cucubano de monte,Guettarda,valenzuelana
7311,rhoifolia,Guioa,rhoifolia
7312,Guioa,Guioa,spp.
7313,"bochela uchererak, uch",Gulubia,palauensis
7315,West Indian false box,Gyminda,latifolia
7317,oysterwood,Gymnanthes,lucida
7319,vilivili,Gyrocarpus,americanus
7321,bloodwoodtree,Haematoxylum,campechianum
7327,palo de hueso,Haenianthus,salicifolius
7328,mountain silverbell,Halesia,tetraptera
7329,Ozark witchhazel,Hamamelis,vernalis
7330,scarletbush,Hamelia,patens
7331,American witchhazel,Hamamelis,virginiana
7332,Haplolobus floribundus,Haplolobus,floribundus
7334,fa`aili,Harpullia,arborea
7335,haujillo,Havardia,pallens
7336,false locust,Hebestigma,cubense
7338,denticulata,Hedycarya,denticulata
7340,Hedycarya,Hedycarya,spp.
7341,cigarbush,Hedyosmum,arborescens
7343,Fosbergs starviolet,Hedyotis,fosbergii
7344,manono,Hedyotis,hillebrandii
7345,starviolet,Hedyotis,spp.
7346,variable starviolet,Hedyotis,terminalis
7347,screwtree,Helicteres,jamaicensis
7349,white moho,Heliocarpus,popayanensis
7350,heliocarpus,Heliocarpus,spp.
7353,camasey peludo,Henriettea,fascicularis
7354,MacFadyen's camasey,Henriettea,macfadyenii
7355,thinleaf camasey,Henriettea,membranifolia
7357,jusillo,Henriettea,squamulosum
7359,ufa,Heritiera,littoralis
7360,ufa halemtano,Heritiera,longipetiolata
7362,Heritiera,Heritiera,spp.
7363,pipi,Hernandia,moerenhoutiana
7364,"pua, Chinese lantern tree",Hernandia,nymphaeifolia
7365,Hernandia ovigera,Hernandia,ovigera
7366,mago,Hernandia,sonora
7367,Hernandia,Hernandia,spp.
7368,Hernandia labyrinthica,Hernandia,labyrinthica
7370,Lanai island-aster,Hesperomannia,arborescens
7371,Maui island-aster,Hesperomannia,arbuscula
7372,Kauai island-aster,Hesperomannia,lydgatei
7373,island-aster,Hesperomannia,spp.
7374,toyon,Heteromeles,arbutifolia
7376,toyon,Heteromeles,spp.
7377,palma brava,Heterospathe,elata
